architecture,condition,snr_db,label,class_name,baseline_precision,baseline_recall,baseline_f1,baseline_support,augmented_precision,augmented_recall,augmented_f1,augmented_support,precision_delta,recall_delta,f1_delta
crnn,snr_10db,10.0,2,children_playing,0.4912280701754385,0.84,0.6199261992619927,100,0.4655172413793103,0.81,0.5912408759124088,100,-0.025710828796128238,-0.029999999999999916,-0.028685323349583847
crnn,snr_10db,10.0,3,dog_bark,0.8636363636363636,0.57,0.6867469879518072,100,0.8875,0.71,0.7888888888888889,100,0.02386363636363631,0.14,0.10214190093708164
crnn,snr_10db,10.0,4,drilling,0.6837606837606838,0.8,0.7373271889400922,100,0.6699029126213593,0.69,0.6798029556650246,100,-0.013857771139324515,-0.1100000000000001,-0.057524233275067616
crnn,snr_10db,10.0,5,engine_idling,0.7875,0.6774193548387096,0.7283236994219653,93,0.8823529411764706,0.8064516129032258,0.8426966292134831,93,0.09485294117647058,0.12903225806451613,0.11437292979151781
crnn,snr_10db,10.0,6,gun_shot,0.9032258064516128,0.875,0.8888888888888888,32,0.8648648648648649,1.0,0.927536231884058,32,-0.038360941586747854,0.125,0.03864734299516914
crnn,snr_10db,10.0,7,jackhammer,0.8461538461538461,0.8020833333333334,0.8235294117647058,96,0.9,0.9375,0.9183673469387756,96,0.05384615384615388,0.13541666666666663,0.0948379351740698
crnn,snr_10db,10.0,8,siren,0.8780487804878049,0.4337349397590361,0.5806451612903226,83,0.7818181818181819,0.5180722891566265,0.6231884057971014,83,-0.09623059866962302,0.08433734939759041,0.04254324450677882
crnn,snr_10db,10.0,9,street_music,0.7063492063492064,0.89,0.7876106194690266,100,0.8372093023255814,0.72,0.7741935483870968,100,0.13086009597637505,-0.17000000000000004,-0.013417071081929799
crnn,snr_0db,0.0,0,air_conditioner,0.4468085106382978,0.42,0.4329896907216495,100,0.6027397260273972,0.44,0.5086705202312138,100,0.15593121538909943,0.020000000000000018,0.07568082950956434
crnn,snr_0db,0.0,1,car_horn,0.5454545454545454,0.3636363636363636,0.4363636363636363,33,0.3417721518987341,0.8181818181818182,0.4821428571428571,33,-0.2036823935558113,0.45454545454545464,0.04577922077922081
crnn,snr_0db,0.0,2,children_playing,0.3333333333333333,0.76,0.4634146341463415,100,0.4183673469387755,0.82,0.5540540540540541,100,0.08503401360544216,0.05999999999999994,0.09063941990771257
crnn,snr_0db,0.0,3,dog_bark,0.559322033898305,0.33,0.4150943396226415,100,0.821917808219178,0.6,0.6936416184971098,100,0.262595774320873,0.26999999999999996,0.27854727887446834
crnn,snr_0db,0.0,4,drilling,0.6973684210526315,0.53,0.6022727272727273,100,0.7808219178082192,0.57,0.6589595375722543,100,0.08345349675558766,0.039999999999999925,0.056686810299527046
