experiment_id,architecture,training_condition,condition,snr_db,label,class_name,precision,recall,f1,support
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_20db,20.0,1,car_horn,0.9545454545454546,0.6363636363636364,0.7636363636363637,33
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_20db,20.0,2,children_playing,0.5755395683453237,0.8,0.6694560669456067,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_20db,20.0,3,dog_bark,0.8666666666666667,0.65,0.7428571428571429,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_20db,20.0,4,drilling,0.625,0.85,0.7203389830508474,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_20db,20.0,5,engine_idling,0.8192771084337349,0.7311827956989247,0.7727272727272727,93
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_20db,20.0,6,gun_shot,0.9393939393939394,0.96875,0.953846153846154,32
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_20db,20.0,7,jackhammer,0.8125,0.8125,0.8125,96
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_20db,20.0,8,siren,0.9772727272727272,0.5180722891566265,0.6771653543307087,83
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_20db,20.0,9,street_music,0.7946428571428571,0.89,0.839622641509434,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_10db,10.0,0,air_conditioner,0.6595744680851063,0.62,0.6391752577319587,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_10db,10.0,1,car_horn,0.85,0.5151515151515151,0.6415094339622641,33
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_10db,10.0,2,children_playing,0.4912280701754385,0.84,0.6199261992619927,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_10db,10.0,3,dog_bark,0.8636363636363636,0.57,0.6867469879518072,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_10db,10.0,4,drilling,0.6837606837606838,0.8,0.7373271889400922,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_10db,10.0,5,engine_idling,0.7875,0.6774193548387096,0.7283236994219653,93
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_10db,10.0,6,gun_shot,0.9032258064516128,0.875,0.8888888888888888,32
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_10db,10.0,7,jackhammer,0.8461538461538461,0.8020833333333334,0.8235294117647058,96
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_10db,10.0,8,siren,0.8780487804878049,0.4337349397590361,0.5806451612903226,83
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_10db,10.0,9,street_music,0.7063492063492064,0.89,0.7876106194690266,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_0db,0.0,0,air_conditioner,0.4468085106382978,0.42,0.4329896907216495,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_0db,0.0,1,car_horn,0.5454545454545454,0.3636363636363636,0.4363636363636363,33
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_0db,0.0,2,children_playing,0.3333333333333333,0.76,0.4634146341463415,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_0db,0.0,3,dog_bark,0.559322033898305,0.33,0.4150943396226415,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_0db,0.0,4,drilling,0.6973684210526315,0.53,0.6022727272727273,100
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_0db,0.0,5,engine_idling,0.6346153846153846,0.3548387096774194,0.4551724137931034,93
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_0db,0.0,6,gun_shot,0.7916666666666666,0.59375,0.6785714285714286,32
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_0db,0.0,7,jackhammer,0.66,0.6875,0.673469387755102,96
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_0db,0.0,8,siren,0.6842105263157895,0.1566265060240964,0.2549019607843137,83
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_0db,0.0,9,street_music,0.4355828220858895,0.71,0.5399239543726235,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,clean,,0,air_conditioner,0.6538461538461539,0.51,0.5730337078651685,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,clean,,1,car_horn,0.9666666666666668,0.8787878787878788,0.9206349206349206,33
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,clean,,2,children_playing,0.7033898305084746,0.83,0.7614678899082569,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,clean,,3,dog_bark,0.7592592592592593,0.82,0.7884615384615384,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,clean,,4,drilling,0.7669902912621359,0.79,0.7783251231527094,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,clean,,5,engine_idling,0.6,0.6451612903225806,0.6217616580310881,93
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,clean,,6,gun_shot,0.96875,0.96875,0.96875,32
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,clean,,7,jackhammer,0.9438202247191012,0.875,0.9081081081081082,96
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,clean,,8,siren,0.6486486486486487,0.5783132530120482,0.6114649681528662,83
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,clean,,9,street_music,0.8285714285714286,0.87,0.848780487804878,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_20db,20.0,0,air_conditioner,0.65,0.52,0.5777777777777777,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_20db,20.0,1,car_horn,0.9375,0.9090909090909092,0.9230769230769232,33
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_20db,20.0,2,children_playing,0.6974789915966386,0.83,0.7579908675799086,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_20db,20.0,3,dog_bark,0.7843137254901961,0.8,0.7920792079207921,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_20db,20.0,4,drilling,0.7596153846153846,0.79,0.7745098039215687,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_20db,20.0,5,engine_idling,0.6185567010309279,0.6451612903225806,0.631578947368421,93
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_20db,20.0,6,gun_shot,0.96875,0.96875,0.96875,32
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_20db,20.0,7,jackhammer,0.9770114942528736,0.8854166666666666,0.9289617486338798,96
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_20db,20.0,8,siren,0.6025641025641025,0.5662650602409639,0.5838509316770186,83
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_20db,20.0,9,street_music,0.8207547169811321,0.87,0.8446601941747572,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_10db,10.0,0,air_conditioner,0.5617977528089888,0.5,0.5291005291005291,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_10db,10.0,1,car_horn,0.875,0.8484848484848485,0.8615384615384616,33
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_10db,10.0,2,children_playing,0.664,0.83,0.7377777777777778,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_10db,10.0,3,dog_bark,0.797979797979798,0.79,0.7939698492462312,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_10db,10.0,4,drilling,0.8160919540229885,0.71,0.7593582887700535,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_10db,10.0,5,engine_idling,0.6,0.5483870967741935,0.5730337078651685,93
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_10db,10.0,6,gun_shot,0.9090909090909092,0.9375,0.9230769230769232,32
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_10db,10.0,7,jackhammer,0.913978494623656,0.8854166666666666,0.8994708994708994,96
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_10db,10.0,8,siren,0.6081081081081081,0.5421686746987951,0.5732484076433121,83
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_10db,10.0,9,street_music,0.7166666666666667,0.86,0.7818181818181819,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_0db,0.0,0,air_conditioner,0.4623655913978494,0.43,0.4455958549222797,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_0db,0.0,1,car_horn,0.9642857142857144,0.8181818181818182,0.8852459016393442,33
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_0db,0.0,2,children_playing,0.5238095238095238,0.66,0.584070796460177,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_0db,0.0,3,dog_bark,0.8048780487804879,0.66,0.7252747252747253,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_0db,0.0,4,drilling,0.7972972972972973,0.59,0.6781609195402298,100
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_0db,0.0,5,engine_idling,0.423728813559322,0.2688172043010752,0.3289473684210526,93
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_0db,0.0,6,gun_shot,0.8,0.875,0.835820895522388,32
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_0db,0.0,7,jackhammer,0.7843137254901961,0.8333333333333334,0.8080808080808081,96
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_0db,0.0,8,siren,0.6119402985074627,0.4939759036144578,0.5466666666666666,83
